Years,JAN,FEB,MAR,APR,MAI,JUN,JUL,AUG,SEP,OKT,NOV,DEZ
1993,0.4,1.6,8,13.2,18,21,21.6,23.2,16.8,10.6,4.9,0.3
1994,1.3,2.2,10.8,11.8,17.2,21,24.4,23.9,18.4,10.3,7.1,1.3
1995,-0.9,3.2,5.8,11.7,16.6,19,24.6,22,15.8,11.2,4.9,1.4
1996,1.3,1.9,6.4,13.1,16.5,20.7,22,19.6,15.6,11,6,1.5
1997,1.2,3.3,10.2,11.7,17,19.6,21.4,22.6,19.7,11,5.3,2.1
1998,1.1,4.1,8.1,11.7,17.6,21.5,23,23.7,17.3,10.1,3.1,-0.8
1999,0.9,1.6,8.3,13.3,18.1,20,23,22.4,18.8,11.8,4.6,0.2
2000,-1.9,3.1,8.2,13.8,18.9,21.6,21.1,22.7,18.4,12.6,6.2,2.7
2001,1.3,4.1,9.8,11.4,19.4,20,23.6,23.5,15.3,13.5,3.7,-0.9
2002,-1.9,4.4,9.9,12.4,17.2,22,22.9,22.2,17.3,11.6,7.9,2.8
2003,1.2,0.6,9.2,13,19.7,25.3,24.5,26.5,18.4,9.9,6.4,2.7
2004,0.8,3.5,8.2,13.8,16.2,21.9,23,23.4,19.4,15,6.1,2.9
2005,0.7,2.5,8.5,13,19,23.3,23.7,21.9,19.4,12.1,5.4,-0.4
2006,0.3,1.6,7.7,13.9,18.1,22.7,26.4,20.8,20.4,14.1,6.5,3.3
2007,3.8,6.4,10.2,17.3,19.3,22.4,23.6,22,17.4,12.3,5.2,2.1
2008,3.6,5,9.6,12.8,18.8,22.2,23.3,23.6,18.2,13.1,6,1.8
2009,1.5,4.1,8.8,14.1,20.1,21.5,22.9,24.1,19.2,13,7.4,2.2
2010,1.2,3.7,8.7,13.8,17.3,21.9,25,22.1,17.2,11.4,7.5,1
2011,1.7,5.6,9.8,15.8,18.9,21.1,22.2,23.5,20.4,12.5,6.4,3.2
2012,2,3,12.6,12.7,17.6,22.3,23.1,24.2,18.3,13.3,7.8,1.5
2013,3.2,3.1,7.4,13.9,15.8,20.8,24.8,23.6,18.8,13.8,8.6,4.1
2014,4.1,6.2,11.3,14.5,17.1,21.4,21.7,20.7,18.8,15,10,5.2
2015,3.5,5.3,9.8,14.3,18.5,21.9,26.9,24,17.7,12.7,7.5,2.5
2016,2.4,6.3,9.8,14.8,16.7,21.4,24.2,22.4,20.3,12.4,7.6,2.9
2017,0.7,6.5,12.1,13.9,18.8,23.2,23.5,23.6,16.6,13.5,6.6,1.2
2018,3.7,4.1,8.1,15.8,18.4,22.6,24.1,24.3,20,14.4,8.9,2.8
2019,3.1,5.8,10.2,13.2,15.1,24.2,23.9,23.6,18.7,14.3,7.4,3.6
2020,3.1,6.6,8.7,14.5,18.1,21,23.3,23.4,19.1,11.7,7.3,3.1
2021,0,5.8,8.9,11.8,15.8,23.7,23,21.4,19.6,11.9,7.1,2.8
