month,year,min,max,mean
January,1993,-3.6,4.5,0.45
February,1993,-3.5,6.8,1.65
March,1993,1.2,14.8,8
April,1993,6.1,20.2,13.15
May,1993,10.4,25.6,18
June,1993,13.8,28.1,20.95
July,1993,14.6,28.6,21.6
August,1993,15.4,31,23.2
September,1993,11.1,22.5,16.8
October,1993,7.4,13.9,10.65
November,1993,1.2,8.5,4.85
December,1993,-3.5,4.1,0.3
January,1997,-1.6,4.1,1.25
February,1997,-1.4,8,3.3
March,1997,2.5,17.9,10.2
April,1997,3.6,19.8,11.7
May,1997,9.9,24.2,17.05
June,1997,13.7,25.4,19.55
July,1997,14.2,28.6,21.4
August,1997,15.5,29.6,22.55
September,1997,11.9,27.5,19.7
October,1997,5.5,16.5,11
November,1997,1.6,9,5.3
December,1997,-1,5.3,2.15
January,2001,-1.2,3.8,1.3
February,2001,-0.7,8.8,4.05
March,2001,5.3,14.3,9.8
April,2001,4.9,17.9,11.4
May,2001,12.4,26.5,19.45
June,2001,12.7,27.4,20.05
July,2001,16.6,30.5,23.55
Augustust,2001,16.4,30.5,23.45
September,2001,9.1,21.5,15.3
October,2001,9.6,17.3,13.45
November,2001,0.1,7.3,3.7
December,2001,-5.1,3.3,-0.9
January,2005,-3.1,4.6,0.75
February,2005,-1.7,6.6,2.45
March,2005,2.9,14.1,8.5
April,2005,7.3,18.7,13
May,2005,12.6,25.4,19
June,2005,17,29.5,23.25
July,2005,17.4,30,23.7
August,2005,16.3,27.5,21.9
September,2005,14.1,24.7,19.4
October,2005,8.4,15.8,12.1
November,2005,2.1,8.8,5.45
December,2005,-3.8,3,-0.4
January,2009,-1.7,4.6,1.45
February,2009,0,8.2,4.1
March,2009,3.7,13.8,8.75
April,2009,8.9,19.2,14.05
May,2009,14,26.2,20.1
June,2009,15.5,27.5,21.5
July,2009,17.2,28.6,22.9
August,2009,18.3,29.9,24.1
September,2009,14.1,24.3,19.2
October,2009,8.5,17.5,13
November,2009,4.1,10.7,7.4
December,2009,-0.7,5,2.15
January,2013,-0.2,6.5,3.15
February,2013,-0.5,6.8,3.15
March,2013,3.8,11.1,7.45
April,2013,9.5,18.3,13.9
May,2013,11.1,20.6,15.85
June,2013,14.8,26.7,20.75
July,2013,18.4,31.2,24.8
August,2013,17.2,30,23.6
September,2013,13.9,23.6,18.75
October,2013,11.1,16.5,13.8
November,2013,6,11.1,8.55
December,2013,0.6,7.7,4.15
January,2017,-3.6,5,0.7
February,2017,2.9,10,6.45
March,2017,6.7,17.6,12.15
April,2017,8.4,19.4,13.9
May,2017,13.1,24.4,18.75
June,2017,17.4,29.1,23.25
July,2017,17.6,29.3,23.45
August,2017,17.7,29.6,23.65
September,2017,12.4,20.8,16.6
October,2017,8.5,18.6,13.55
November,2017,2.9,10.2,6.55
December,2017,-2.4,4.7,1.15
January,2021,-2.7,2.8,0.05
February,2021,1.9,9.8,5.85
March,2021,2.9,14.9,8.9
April,2021,6.4,17.3,11.85
May,2021,10.3,21.2,15.75
June,2021,16.4,29.9,23.15
July,2021,17.6,28.7,23.15
August,2021,15.9,26.9,21.4
September,2021,14,25.2,19.6
October,2021,7.4,16.5,11.95
November,2021,4.1,10.2,7.15
December,2021,-0.6,6.2,2.8
