,Tree ID,Carbon Storage (kg),Height (m),Canopy Cover (m2)
0,1.0,12.0,3.5,1.8
1,2.0,12.9,5.0,1.8
2,3.0,16.2,4.5,1.8
3,4.0,25.7,5.0,4.9
4,7.0,448.2,8.0,1.8
5,8.0,16.2,4.5,1.8
6,9.0,20.0,4.0,3.1
7,10.0,20.0,4.0,3.1
8,11.0,15.5,3.5,1.8
9,12.0,20.9,5.0,3.1
10,13.0,21.3,5.0,4.9
11,14.0,12.3,4.0,3.1
12,15.0,16.9,5.0,3.1
13,16.0,15.1,3.0,1.8
14,17.0,20.0,4.0,3.1
15,18.0,16.2,4.5,1.8
16,36.0,33.5,5.0,3.1
17,37.0,8.9,4.5,7.1
18,38.0,18.8,5.0,7.1
19,39.0,18.8,5.0,7.1
20,40.0,6.5,4.0,3.1
21,70.0,60.0,6.0,28.3
22,71.0,52.4,7.0,28.3
23,72.0,52.4,7.0,28.3
24,73.0,33.2,7.0,19.6
25,80.0,4.4,4.0,7.1
26,81.0,32.2,6.0,7.1
27,82.0,32.2,6.0,9.6
28,83.0,16.6,5.0,4.9
29,84.0,20.9,5.0,4.9
30,85.0,20.9,5.0,4.9
31,86.0,2.9,5.0,3.1
32,87.0,20.9,5.0,7.1
33,88.0,31.1,5.0,7.1
34,89.0,0.6,5.0,0.8
35,90.0,2.9,5.0,3.1
36,91.0,5.0,6.0,3.1
37,92.0,14.8,8.0,3.1
38,93.0,20.4,4.0,7.1
39,94.0,5.3,4.0,3.1
40,95.0,5.3,4.0,3.1
41,96.0,18.6,4.5,1.8
42,97.0,18.6,4.5,1.8
43,99.0,25.4,4.5,1.8
44,100.0,25.4,4.5,1.8
45,101.0,25.4,4.5,1.8
46,102.0,25.4,4.5,1.8
47,103.0,25.4,3.5,3.1
48,104.0,18.6,4.5,1.8
49,107.0,7.0,5.0,3.1
50,108.0,13.5,5.0,3.1
51,114.0,8.9,4.5,7.1
52,115.0,15.0,4.5,4.9
53,116.0,8.9,4.5,0.8
54,117.0,8.9,4.5,3.1
55,118.0,18.8,5.0,7.1
56,119.0,18.8,5.0,7.1
57,120.0,18.8,5.0,7.1
58,121.0,8.9,4.5,7.1
59,122.0,8.9,2.0,0.8
60,123.0,13.2,5.0,3.1
61,124.0,13.2,5.0,3.1
62,135.0,6.5,4.5,3.1
63,137.0,6.5,4.5,3.1
64,138.0,18.8,5.0,7.1
65,139.0,18.8,5.0,7.1
66,140.0,11.7,4.5,4.9
67,141.0,15.0,4.5,4.9
68,142.0,15.0,4.5,4.9
69,143.0,15.0,5.0,4.9
70,144.0,15.0,4.5,4.9
71,145.0,18.8,5.0,4.9
72,146.0,18.8,5.0,4.9
73,147.0,18.8,5.0,4.9
74,148.0,18.8,5.0,7.1
75,149.0,18.8,5.0,7.1
76,150.0,18.8,5.0,7.1
77,151.0,18.8,5.0,4.9
78,152.0,18.8,5.0,4.9
79,170.0,131.7,5.0,12.6
80,171.0,131.7,5.0,7.1
81,172.0,131.7,5.0,12.6
82,173.0,131.7,5.0,12.6
83,174.0,48.9,4.0,7.1
84,180.0,27.9,6.0,12.6
85,181.0,27.9,6.0,12.6
86,182.0,68.2,6.0,19.6
87,183.0,143.6,10.0,0.8
88,184.0,143.5,10.0,0.8
89,185.0,143.5,10.0,0.8
90,186.0,32.2,4.5,3.1
91,187.0,32.2,4.0,1.8
92,188.0,32.2,5.0,12.6
93,189.0,26.5,4.5,7.1
94,307.0,15.0,5.0,12.6
95,308.0,15.0,5.0,12.6
96,309.0,15.0,4.0,12.6
97,310.0,15.0,5.0,12.6
98,311.0,15.0,5.0,12.6
99,312.0,15.0,5.0,12.6
100,330.0,449.3,13.0,153.9
101,331.0,92.3,8.0,28.3
102,332.0,55.4,6.0,12.6
103,333.0,55.4,6.0,12.6
104,396.0,79.6,5.0,12.6
105,397.0,235.9,6.0,28.3
106,398.0,172.8,6.0,28.3
107,415.0,25.4,4.0,7.1
108,416.0,83.4,7.0,19.6
109,417.0,83.4,7.0,19.6
110,418.0,83.4,6.0,19.6
111,419.0,25.4,6.0,12.6
112,420.0,53.6,6.0,19.6
113,422.0,53.6,6.0,19.6
114,423.0,83.4,7.0,19.6
115,424.0,25.4,6.0,12.6
116,546.0,83.4,7.0,28.3
117,616.0,32.2,4.0,7.1
118,617.0,260.1,14.0,0.8
119,618.0,260.1,14.0,0.8
120,619.0,260.1,14.0,0.8
121,620.0,260.1,14.0,0.8
122,621.0,260.0,14.0,0.8
123,622.0,260.0,14.0,0.8
124,623.0,32.2,4.0,7.1
125,624.0,38.5,4.5,12.6
126,625.0,33.1,6.0,12.6
127,626.0,121.7,10.0,19.6
128,627.0,209.2,10.0,19.6
129,628.0,94.3,6.0,12.6
130,629.0,209.2,10.0,19.6
131,630.0,19.6,6.0,28.3
132,631.0,19.6,6.0,28.3
133,632.0,2024.3,15.0,113.1
134,633.0,189.5,9.0,28.3
135,634.0,94.3,6.0,12.6
136,635.0,1205.3,16.0,50.3
137,636.0,1075.4,6.0,28.3
138,637.0,15.6,5.5,19.6
139,638.0,19.6,6.5,28.3
140,639.0,56.8,8.0,12.6
141,640.0,225.8,13.0,38.5
142,641.0,75.9,9.0,19.6
143,642.0,629.1,14.0,78.5
144,643.0,409.9,14.0,113.1
145,644.0,26.3,4.5,19.6
146,645.0,21.7,5.0,19.6
147,646.0,21.7,4.5,19.6
148,647.0,17.5,4.5,19.6
149,651.0,5.7,1.0,0.8
150,670.0,86.3,15.0,63.6
151,671.0,92.4,12.0,19.6
152,672.0,26.2,5.0,7.1
153,673.0,186.9,12.0,78.5
154,674.0,268.4,12.0,50.3
155,675.0,239.0,12.0,50.3
156,691.0,319.9,12.0,113.1
157,703.0,234.7,13.0,50.3
158,723.0,59.2,6.0,12.6
159,724.0,50.6,5.0,7.1
160,725.0,50.6,5.0,7.1
161,726.0,29.3,5.0,7.1
162,727.0,51.7,7.0,12.6
163,728.0,44.7,7.0,12.6
164,729.0,59.3,7.0,12.6
165,730.0,59.3,7.0,12.6
166,731.0,59.3,7.0,12.6
167,732.0,90.3,11.0,50.3
168,733.0,27.1,5.0,7.1
169,736.0,271.0,15.0,63.6
170,739.0,76.5,12.0,12.6
171,746.0,93.9,8.0,28.3
172,747.0,137.0,12.0,50.3
173,748.0,160.3,14.0,78.5
174,911.0,12.6,3.0,7.1
175,912.0,12.6,3.0,7.1
176,913.0,16.3,3.0,7.1
177,914.0,16.3,3.0,7.1
178,915.0,16.3,3.5,7.1
179,916.0,16.3,3.5,7.1
180,917.0,12.6,3.0,3.1
181,918.0,16.3,3.0,3.1
182,920.0,9.4,3.0,1.8
183,921.0,9.4,3.0,1.8
184,922.0,9.4,3.0,3.1
185,923.0,9.4,3.0,1.8
186,924.0,9.4,3.0,1.8
187,925.0,9.4,3.0,1.8
188,926.0,9.4,3.0,1.8
189,927.0,9.4,3.0,1.8
190,928.0,9.4,3.0,1.8
191,929.0,86.7,5.0,19.6
192,930.0,64.1,4.0,12.6
193,931.0,17.5,4.0,12.6
194,932.0,15.6,4.0,12.6
195,933.0,15.6,4.0,12.6
196,934.0,15.6,4.0,12.6
197,935.0,15.6,4.0,12.6
198,936.0,13.7,4.0,12.6
199,938.0,855.8,15.0,113.1
200,946.0,39.0,8.0,28.3
201,947.0,39.0,8.0,28.3
202,948.0,118.3,10.0,50.3
203,949.0,509.1,8.0,28.3
204,962.0,86.1,9.0,153.9
205,963.0,64.1,8.0,113.1
206,964.0,64.1,8.0,113.1
207,973.0,361.2,10.0,50.3
208,985.0,185.8,10.0,0.8
209,986.0,829.6,14.0,3.1
210,987.0,1390.0,14.0,3.1
211,988.0,18.1,4.0,0.8
212,989.0,11.4,4.0,0.8
213,1008.0,593.0,15.0,63.6
214,1018.0,186.0,8.0,38.5
215,1019.0,354.3,11.0,78.5
216,1038.0,48.0,4.0,12.6
217,1039.0,25.3,3.5,4.9
218,1042.0,92.2,4.0,7.1
219,1043.0,154.3,5.0,12.6
220,1049.0,29.3,6.0,7.1
221,1050.0,59.2,6.5,12.6
222,1051.0,14.5,5.0,4.9
223,1052.0,42.7,7.0,12.6
224,1053.0,35.6,6.0,7.1
225,1054.0,50.6,6.5,12.6
226,1055.0,59.2,7.0,12.6
227,1056.0,29.3,6.5,12.6
228,1057.0,29.3,6.5,12.6
229,1058.0,42.7,6.5,12.6
230,1059.0,42.7,6.5,12.6
231,1060.0,29.3,6.5,12.6
232,1061.0,68.7,7.0,12.6
233,1062.0,59.2,6.0,7.1
234,1063.0,14.5,4.0,1.8
235,1064.0,35.6,5.0,12.6
236,1065.0,35.6,6.0,12.6
237,1066.0,59.2,7.0,12.6
238,1067.0,59.2,7.0,12.6
239,1068.0,29.3,4.5,3.1
240,1069.0,29.3,5.0,12.6
241,1070.0,90.2,7.0,12.6
242,1071.0,14.5,4.0,3.1
243,1072.0,10.9,3.5,1.8
244,1073.0,79.0,7.0,12.6
245,1074.0,35.6,6.0,7.1
246,1110.0,60.0,7.0,28.3
247,1111.0,60.0,7.0,28.3
248,1112.0,60.0,7.0,28.3
249,1113.0,60.0,7.0,28.3
250,1114.0,60.0,7.0,28.3
251,1115.0,39.0,6.0,19.6
252,1116.0,39.0,6.0,19.6
253,1117.0,39.0,6.0,12.6
254,1118.0,39.0,6.0,19.6
255,1119.0,68.2,7.0,28.3
256,1120.0,68.2,7.0,28.3
257,1121.0,68.2,7.0,28.3
258,1122.0,33.2,7.0,19.6
259,1123.0,56.6,8.0,63.6
260,1124.0,39.0,6.0,12.6
261,1125.0,15.0,6.0,12.6
262,1126.0,60.0,8.0,28.3
263,1127.0,39.0,8.0,12.6
264,1128.0,39.0,8.0,12.6
265,1129.0,39.0,8.0,12.6
266,1130.0,60.0,8.0,12.6
267,1131.0,60.0,8.0,12.6
268,1132.0,11.7,5.0,7.1
269,1133.0,52.4,7.0,12.6
270,1134.0,27.9,5.0,7.1
271,1135.0,93.3,6.0,50.3
272,1136.0,93.3,6.0,50.3
273,1137.0,46.6,6.0,38.5
274,1138.0,113.2,7.0,78.5
275,1139.0,53.1,6.0,28.3
276,1140.0,53.1,6.0,28.3
277,1141.0,53.1,6.0,28.3
278,1142.0,53.1,6.0,28.3
279,1143.0,53.1,6.0,28.3
280,1144.0,53.1,6.0,28.3
281,1145.0,67.6,6.0,28.3
282,1146.0,93.3,7.0,38.5
283,1147.0,67.6,6.0,28.3
284,1148.0,67.6,6.0,28.3
285,1149.0,124.0,7.0,38.5
286,1150.0,35.0,6.0,28.3
287,1151.0,187.0,8.0,50.3
288,1152.0,27.9,7.0,12.6
289,1159.0,18.8,5.0,3.1
290,1160.0,29.3,6.0,7.1
291,1161.0,29.3,6.0,7.1
292,1162.0,29.3,6.0,7.1
293,1163.0,20.9,5.0,4.9
294,1164.0,115.2,12.0,7.1
295,1165.0,115.2,12.0,7.1
296,1166.0,115.2,12.0,7.1
297,1167.0,115.2,8.0,7.1
298,1168.0,115.2,8.0,7.1
299,1169.0,115.2,8.0,7.1
300,1170.0,26.5,6.0,7.1
301,1171.0,26.5,6.0,7.1
302,1172.0,26.5,6.0,7.1
303,1173.0,26.5,6.0,7.1
304,1174.0,26.5,6.0,7.1
305,1175.0,4.8,6.0,3.1
306,1176.0,4.8,6.0,3.1
307,1177.0,4.8,6.0,3.1
308,1178.0,4.8,6.0,3.1
309,1179.0,4.8,6.0,3.1
310,1180.0,4.8,6.0,3.1
311,1181.0,4.8,6.0,3.1
312,1182.0,26.5,8.0,7.1
313,1183.0,115.2,6.0,7.1
314,1184.0,26.5,4.0,7.1
315,1185.0,189.3,15.0,12.6
316,1186.0,406.9,15.0,12.6
317,1187.0,26.5,15.0,7.1
318,1188.0,26.5,8.0,7.1
319,1189.0,115.2,15.0,12.6
320,1190.0,26.5,8.0,7.1
321,1191.0,61.7,8.0,12.6
322,1192.0,13.2,4.0,1.8
323,1193.0,13.2,4.0,1.8
324,1194.0,13.2,4.0,1.8
325,1195.0,13.2,4.0,1.8
326,1196.0,13.2,4.0,1.8
327,1197.0,13.2,4.0,1.8
328,1198.0,13.2,4.0,1.8
329,1199.0,13.2,4.0,1.8
330,1200.0,13.2,4.0,1.8
331,1201.0,13.2,4.0,1.8
332,1202.0,13.2,4.0,1.8
333,1203.0,17.5,10.0,7.1
334,1204.0,17.5,10.0,7.1
335,1205.0,28.7,12.0,7.1
336,1206.0,308.0,18.0,19.6
337,1207.0,28.7,8.0,7.1
338,1208.0,28.7,8.0,7.1
339,1209.0,28.7,8.0,7.1
340,1210.0,17.5,6.0,7.1
341,1211.0,72.1,4.0,0.5
342,1212.0,72.4,6.0,1.1
343,1213.0,33.9,8.0,0.8
344,1214.0,127.1,12.0,1.1
345,1215.0,185.4,10.0,12.6
346,1217.0,17.7,4.0,3.1
347,1218.0,37.1,5.0,3.1
348,1219.0,14.5,6.0,7.1
349,1220.0,100.4,8.0,7.1
350,1221.0,11.4,4.0,3.1
351,1222.0,3.7,6.0,3.1
352,1223.0,19.3,8.0,7.1
353,1224.0,19.3,8.0,7.1
354,1225.0,3.7,5.0,3.1
355,1226.0,100.4,8.0,7.1
356,1227.0,100.4,8.0,7.1
357,1228.0,50.7,6.0,7.1
358,1229.0,100.4,8.0,7.1
359,1230.0,19.3,6.0,7.1
360,1231.0,19.3,6.0,7.1
