Tree ID,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2)
1,3.5,1,1.5,1.8,3.5
2,5,1.5,1.5,1.8,4.2
3,4.5,1.3,1.5,1.8,4
4,5,1.5,2.5,4.9,7.1
7,8,2.4,1.5,1.8,6.6
8,4.5,1.3,1.5,1.8,4.2
9,4,1.2,2,3.1,4.8
10,4,1.2,2,3.1,5.8
11,3.5,1,1.5,1.8,3.9
12,5,1.5,2,3.1,6.2
13,5,1.5,2.5,4.9,9.3
14,4,1.2,2,3.1,4.7
15,5,1.5,2,3.1,6.7
16,3,0.9,1.5,1.8,2.9
17,4,1.2,2,3.1,4.4
18,4.5,1.3,1.5,1.8,4.2
36,5,1.5,2,3.1,4
37,4.5,1.3,3,7.1,9.5
38,5,1.5,3,7.1,13.3
39,5,1.5,3,7.1,11.8
40,4,1.2,2,3.1,4.9
70,6,1.8,6,28.3,71.4
71,7,2.1,6,28.3,73.3
72,7,2.1,6,28.3,69.1
73,7,2.1,5,19.6,34.4
80,4,1.2,3,7.1,6.2
81,6,1.8,3,7.1,9.7
82,6,1.8,3.5,9.6,16.5
83,5,1.5,2.5,4.9,7.1
84,5,1.5,2.5,4.9,7.9
85,5,1.5,2.5,4.9,7.4
86,5,1.5,2,3.1,3.5
87,5,1.5,3,7.1,8.5
88,5,1.5,3,7.1,11.8
89,5,1.5,1,0.8,1.6
90,5,1.5,2,3.1,4
91,6,1.8,2,3.1,5.2
92,8,2.4,2,3.1,7.2
93,4,1.2,3,7.1,10.4
94,4,1.2,2,3.1,3.2
95,4,1.2,2,3.1,3.2
96,4.5,1.3,1.5,1.8,3.6
97,4.5,1.3,1.5,1.8,3
99,4.5,1.3,1.5,1.8,3.4
100,4.5,1.3,1.5,1.8,3.8
101,4.5,1.3,1.5,1.8,2.9
102,4.5,1.3,1.5,1.8,3.8
103,3.5,1,2,3.1,4.2
104,4.5,1.3,1.5,1.8,3.6
107,5,1.5,2,3.1,5.2
108,5,1.5,2,3.1,5.2
114,4.5,1.3,3,7.1,10.8
115,4.5,1.3,2.5,4.9,7.2
116,4.5,1.3,1,0.8,3
117,4.5,1.3,2,3.1,6.4
118,5,1.5,3,7.1,13.3
119,5,1.5,3,7.1,13.3
120,5,1.5,3,7.1,12.5
121,4.5,1.3,3,7.1,11.5
122,2,0.6,1,0.8,1.4
123,5,1.5,2,3.1,4.2
124,5,1.5,2,3.1,4.2
135,4.5,1.3,2,3.1,4.7
137,4.5,1.3,2,3.1,5.8
138,5,1.5,3,7.1,13.3
139,5,1.5,3,7.1,11
140,4.5,1.3,2.5,4.9,9
