,neighborhood,Name,count
0,Circoscrizione n. 1 - GARDOLO,Tilia cordata,216
1,Circoscrizione n. 1 - GARDOLO,Celtis australis,211
2,Circoscrizione n. 1 - GARDOLO,Platanus x hispanica,169
3,Circoscrizione n. 1 - GARDOLO,Sophora japonica,158
4,Circoscrizione n. 1 - GARDOLO,Tilia x europaea,105
5,Circoscrizione n. 10 - OLTREFERSINA,Celtis australis,341
6,Circoscrizione n. 10 - OLTREFERSINA,Pinus nigra,145
7,Circoscrizione n. 10 - OLTREFERSINA,Acer campestre,128
8,Circoscrizione n. 10 - OLTREFERSINA,Carpinus betulus,126
9,Circoscrizione n. 10 - OLTREFERSINA,Robinia pseudoacacia,120
10,Circoscrizione n. 11 - S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,405
11,Circoscrizione n. 11 - S.GIUSEPPE-S.CHIARA,Cupressus,212
12,Circoscrizione n. 11 - S.GIUSEPPE-S.CHIARA,Acer campestre,181
13,Circoscrizione n. 11 - S.GIUSEPPE-S.CHIARA,Prunus cerasifera,157
14,Circoscrizione n. 11 - S.GIUSEPPE-S.CHIARA,Parrotia persica,147
15,Circoscrizione n. 12 - CENTRO STORICO PIEDICASTELLO,Celtis australis,242
16,Circoscrizione n. 12 - CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,192
17,Circoscrizione n. 12 - CENTRO STORICO PIEDICASTELLO,Carpinus betulus,159
18,Circoscrizione n. 12 - CENTRO STORICO PIEDICASTELLO,Sophora japonica,114
19,Circoscrizione n. 12 - CENTRO STORICO PIEDICASTELLO,Acer negundo,99
20,Circoscrizione n. 2 - MEANO,Quercus robur,33
21,Circoscrizione n. 2 - MEANO,Cupressus,20
22,Circoscrizione n. 2 - MEANO,Fagus sylvatica,19
23,Circoscrizione n. 2 - MEANO,Tilia x europaea,19
24,Circoscrizione n. 2 - MEANO,Acer pseudoplatanus,16
25,Circoscrizione n. 3 - BONDONE,Tilia x europaea,28
26,Circoscrizione n. 3 - BONDONE,Pyrus calleryana,25
27,Circoscrizione n. 3 - BONDONE,Cupressus sempervirens,24
28,Circoscrizione n. 3 - BONDONE,Cupressus,23
29,Circoscrizione n. 3 - BONDONE,Prunus avium,22
30,Circoscrizione n. 4 - SARDAGNA,Acer pseudoplatanus,11
31,Circoscrizione n. 4 - SARDAGNA,Parrotia persica,9
32,Circoscrizione n. 4 - SARDAGNA,Cupressus,6
33,Circoscrizione n. 4 - SARDAGNA,Robinia pseudoacacia,6
34,Circoscrizione n. 4 - SARDAGNA,Acer platanoides,2
35,Circoscrizione n. 5 - RAVINA-ROMAGNANO,Tilia cordata,34
36,Circoscrizione n. 5 - RAVINA-ROMAGNANO,Platanus x hispanica,23
37,Circoscrizione n. 5 - RAVINA-ROMAGNANO,Pinus nigra,19
38,Circoscrizione n. 5 - RAVINA-ROMAGNANO,Morus alba,18
39,Circoscrizione n. 5 - RAVINA-ROMAGNANO,Tilia x europaea,18
40,Circoscrizione n. 6 - ARGENTARIO,Celtis australis,61
41,Circoscrizione n. 6 - ARGENTARIO,Acer campestre,34
42,Circoscrizione n. 6 - ARGENTARIO,Quercus robur,25
43,Circoscrizione n. 6 - ARGENTARIO,Cupressus,25
44,Circoscrizione n. 6 - ARGENTARIO,Pinus nigra,23
45,Circoscrizione n. 7 - POVO,Prunus avium,23
46,Circoscrizione n. 7 - POVO,Celtis australis,21
47,Circoscrizione n. 7 - POVO,Ostrya carpinifolia,17
48,Circoscrizione n. 7 - POVO,Tilia x europaea,16
49,Circoscrizione n. 7 - POVO,Cupressus,14
50,Circoscrizione n. 8 - MATTARELLO,Celtis australis,25
51,Circoscrizione n. 8 - MATTARELLO,Cupressus,25
52,Circoscrizione n. 8 - MATTARELLO,Crataegus,21
53,Circoscrizione n. 8 - MATTARELLO,Carpinus betulus,13
54,Circoscrizione n. 8 - MATTARELLO,Sophora japonica,13
55,Circoscrizione n. 9 - VILLAZZANO,Tilia cordata,35
56,Circoscrizione n. 9 - VILLAZZANO,Prunus avium,33
57,Circoscrizione n. 9 - VILLAZZANO,Carpinus betulus,33
58,Circoscrizione n. 9 - VILLAZZANO,Gleditsia triacanthos,27
59,Circoscrizione n. 9 - VILLAZZANO,Cupressus,25
