,neighborhood,Name,tree_count,tree_total,tree_percentage
0,S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,405,3024,13.392857142857142
1,S.GIUSEPPE-S.CHIARA,Cupressus,212,3024,7.01058201058201
2,S.GIUSEPPE-S.CHIARA,Acer campestre,181,3024,5.985449735449736
3,S.GIUSEPPE-S.CHIARA,Prunus cerasifera,157,3024,5.191798941798941
4,S.GIUSEPPE-S.CHIARA,Parrotia persica,147,3024,4.861111111111112
5,S.GIUSEPPE-S.CHIARA,Platanus x acerifolia 'Bloodgood',135,3024,4.464285714285714
6,S.GIUSEPPE-S.CHIARA,Carpinus betulus,123,3024,4.067460317460317
7,S.GIUSEPPE-S.CHIARA,Tilia x europaea,118,3024,3.902116402116402
8,S.GIUSEPPE-S.CHIARA,Pyrus calleryana,116,3024,3.835978835978836
9,S.GIUSEPPE-S.CHIARA,Celtis australis,83,3024,2.7447089947089944
10,S.GIUSEPPE-S.CHIARA,Betula,78,3024,2.579365079365079
11,S.GIUSEPPE-S.CHIARA,Liriodendron tulipifera,76,3024,2.513227513227513
12,S.GIUSEPPE-S.CHIARA,Fraxinus angustifolia,70,3024,2.314814814814815
13,S.GIUSEPPE-S.CHIARA,Morus nigra,65,3024,2.1494708994708995
14,S.GIUSEPPE-S.CHIARA,Cedrus deodara,56,3024,1.8518518518518516
15,S.GIUSEPPE-S.CHIARA,Platanus x hispanica,53,3024,1.7526455026455026
16,S.GIUSEPPE-S.CHIARA,Alnus,52,3024,1.7195767195767195
17,S.GIUSEPPE-S.CHIARA,Sophora japonica,52,3024,1.7195767195767195
18,S.GIUSEPPE-S.CHIARA,Corylus colurna,45,3024,1.488095238095238
19,S.GIUSEPPE-S.CHIARA,Acer negundo,41,3024,1.3558201058201058
20,S.GIUSEPPE-S.CHIARA,Ostrya carpinifolia,40,3024,1.3227513227513228
21,S.GIUSEPPE-S.CHIARA,Robinia pseudoacacia,34,3024,1.1243386243386242
22,S.GIUSEPPE-S.CHIARA,Tilia cordata,31,3024,1.0251322751322751
23,S.GIUSEPPE-S.CHIARA,Magnolia grandiflora,27,3024,0.8928571428571428
24,S.GIUSEPPE-S.CHIARA,Liquidambar styraciflua,27,3024,0.8928571428571428
25,S.GIUSEPPE-S.CHIARA,Fraxinus excelsior,26,3024,0.8597883597883598
26,S.GIUSEPPE-S.CHIARA,Betula pendula,25,3024,0.8267195767195766
27,S.GIUSEPPE-S.CHIARA,Quercus rubra,24,3024,0.7936507936507936
28,S.GIUSEPPE-S.CHIARA,Pinus nigra,23,3024,0.7605820105820106
29,S.GIUSEPPE-S.CHIARA,Acer platanoides,21,3024,0.6944444444444444
30,S.GIUSEPPE-S.CHIARA,Platanus orientalis,20,3024,0.6613756613756614
31,S.GIUSEPPE-S.CHIARA,Cedrus atlantica,19,3024,0.6283068783068783
32,S.GIUSEPPE-S.CHIARA,Fagus sylvatica,18,3024,0.5952380952380952
33,S.GIUSEPPE-S.CHIARA,Acer pseudoplatanus,18,3024,0.5952380952380952
34,S.GIUSEPPE-S.CHIARA,Acer saccharinum,18,3024,0.5952380952380952
35,S.GIUSEPPE-S.CHIARA,Tilia x vulgaris,17,3024,0.5621693121693121
36,S.GIUSEPPE-S.CHIARA,Populus nigra,17,3024,0.5621693121693121
37,S.GIUSEPPE-S.CHIARA,Picea abies,17,3024,0.5621693121693121
38,S.GIUSEPPE-S.CHIARA,Quercus robur,16,3024,0.5291005291005291
39,S.GIUSEPPE-S.CHIARA,Pseudotsuga menziesii,16,3024,0.5291005291005291
40,S.GIUSEPPE-S.CHIARA,Platanus occidentalis,16,3024,0.5291005291005291
41,S.GIUSEPPE-S.CHIARA,Ilex aquifolium,15,3024,0.496031746031746
42,S.GIUSEPPE-S.CHIARA,Fraxinus ornus,14,3024,0.4629629629629629
43,S.GIUSEPPE-S.CHIARA,Parthenocissus,13,3024,0.4298941798941799
44,S.GIUSEPPE-S.CHIARA,Ginkgo biloba,13,3024,0.4298941798941799
45,S.GIUSEPPE-S.CHIARA,Ligustrum japonicum,12,3024,0.3968253968253968
46,S.GIUSEPPE-S.CHIARA,Cupressus sempervirens,12,3024,0.3968253968253968
47,S.GIUSEPPE-S.CHIARA,Ligustrum,11,3024,0.3637566137566137
48,S.GIUSEPPE-S.CHIARA,Ligustrum lucidum,9,3024,0.2976190476190476
49,S.GIUSEPPE-S.CHIARA,Sorbus aucuparia,9,3024,0.2976190476190476
50,S.GIUSEPPE-S.CHIARA,Taxus baccata,8,3024,0.26455026455026454
51,S.GIUSEPPE-S.CHIARA,Prunus avium,8,3024,0.26455026455026454
52,S.GIUSEPPE-S.CHIARA,Acer rubrum,8,3024,0.26455026455026454
53,S.GIUSEPPE-S.CHIARA,Prunus,7,3024,0.23148148148148145
54,S.GIUSEPPE-S.CHIARA,Photinia x fraseri,6,3024,0.1984126984126984
55,S.GIUSEPPE-S.CHIARA,Tilia x euchlora,6,3024,0.1984126984126984
56,S.GIUSEPPE-S.CHIARA,Acer x freemanii,5,3024,0.16534391534391535
57,S.GIUSEPPE-S.CHIARA,Ulmus pumila,5,3024,0.16534391534391535
58,S.GIUSEPPE-S.CHIARA,Ulmus minor,5,3024,0.16534391534391535
59,S.GIUSEPPE-S.CHIARA,Paulownia tomentosa,5,3024,0.16534391534391535
60,S.GIUSEPPE-S.CHIARA,Acer palmatum,4,3024,0.13227513227513227
61,S.GIUSEPPE-S.CHIARA,Acer monspessulanum,4,3024,0.13227513227513227
62,S.GIUSEPPE-S.CHIARA,Catalpa bignonioides,4,3024,0.13227513227513227
63,S.GIUSEPPE-S.CHIARA,Ulmus glabra,4,3024,0.13227513227513227
64,S.GIUSEPPE-S.CHIARA,Sorbus thuringiaca,4,3024,0.13227513227513227
65,S.GIUSEPPE-S.CHIARA,Morus alba,4,3024,0.13227513227513227
66,S.GIUSEPPE-S.CHIARA,Ulmus,4,3024,0.13227513227513227
67,S.GIUSEPPE-S.CHIARA,Cupressus torulosa,3,3024,0.0992063492063492
68,S.GIUSEPPE-S.CHIARA,Cercis siliquastrum,3,3024,0.0992063492063492
69,S.GIUSEPPE-S.CHIARA,Laurus nobilis,3,3024,0.0992063492063492
70,S.GIUSEPPE-S.CHIARA,Pinus pinaster,3,3024,0.0992063492063492
71,S.GIUSEPPE-S.CHIARA,Pinus halepensis,3,3024,0.0992063492063492
72,S.GIUSEPPE-S.CHIARA,Quercus petraea,3,3024,0.0992063492063492
73,S.GIUSEPPE-S.CHIARA,Ilex,2,3024,0.06613756613756613
74,S.GIUSEPPE-S.CHIARA,Pterocarya rhoifolia,2,3024,0.06613756613756613
75,S.GIUSEPPE-S.CHIARA,Eriobotrya japonica,2,3024,0.06613756613756613
76,S.GIUSEPPE-S.CHIARA,Pyrus,2,3024,0.06613756613756613
77,S.GIUSEPPE-S.CHIARA,Fraxinus,2,3024,0.06613756613756613
78,S.GIUSEPPE-S.CHIARA,Quercus ilex,2,3024,0.06613756613756613
79,S.GIUSEPPE-S.CHIARA,Photinia serrulata,2,3024,0.06613756613756613
80,S.GIUSEPPE-S.CHIARA,Thuja plicata,2,3024,0.06613756613756613
81,S.GIUSEPPE-S.CHIARA,Cedrus libani,2,3024,0.06613756613756613
82,S.GIUSEPPE-S.CHIARA,Tilia,2,3024,0.06613756613756613
83,S.GIUSEPPE-S.CHIARA,Cedrus,2,3024,0.06613756613756613
84,S.GIUSEPPE-S.CHIARA,Cupressus lusitanica,2,3024,0.06613756613756613
85,S.GIUSEPPE-S.CHIARA,Tilia platyphyllos,2,3024,0.06613756613756613
86,S.GIUSEPPE-S.CHIARA,Chamaecyparis lawsoniana,2,3024,0.06613756613756613
87,S.GIUSEPPE-S.CHIARA,Chamaecyparis,2,3024,0.06613756613756613
88,S.GIUSEPPE-S.CHIARA,Pinus sylvestris,2,3024,0.06613756613756613
89,S.GIUSEPPE-S.CHIARA,Pinus strobus,2,3024,0.06613756613756613
90,S.GIUSEPPE-S.CHIARA,Magnolia,2,3024,0.06613756613756613
91,S.GIUSEPPE-S.CHIARA,Pinus cembra,1,3024,0.03306878306878307
92,S.GIUSEPPE-S.CHIARA,Pterocarya,1,3024,0.03306878306878307
93,S.GIUSEPPE-S.CHIARA,Ulmus laevis,1,3024,0.03306878306878307
94,S.GIUSEPPE-S.CHIARA,Pinus bungeana,1,3024,0.03306878306878307
95,S.GIUSEPPE-S.CHIARA,Nerium oleander,1,3024,0.03306878306878307
96,S.GIUSEPPE-S.CHIARA,Osmanthus fragrans,1,3024,0.03306878306878307
97,S.GIUSEPPE-S.CHIARA,Picea pungens,1,3024,0.03306878306878307
98,S.GIUSEPPE-S.CHIARA,Picea,1,3024,0.03306878306878307
99,S.GIUSEPPE-S.CHIARA,Spiraea,1,3024,0.03306878306878307
100,S.GIUSEPPE-S.CHIARA,Salix x sepulcralis v. chrysocoma,1,3024,0.03306878306878307
101,S.GIUSEPPE-S.CHIARA,Sorbus torminalis,1,3024,0.03306878306878307
102,S.GIUSEPPE-S.CHIARA,Juglans nigra,1,3024,0.03306878306878307
103,S.GIUSEPPE-S.CHIARA,Pyrus communis,1,3024,0.03306878306878307
104,S.GIUSEPPE-S.CHIARA,Koelreuteria paniculata,1,3024,0.03306878306878307
105,S.GIUSEPPE-S.CHIARA,Prunus padus,1,3024,0.03306878306878307
106,S.GIUSEPPE-S.CHIARA,Quercus,1,3024,0.03306878306878307
107,S.GIUSEPPE-S.CHIARA,Prunus laurocerasus,1,3024,0.03306878306878307
108,S.GIUSEPPE-S.CHIARA,Fraxinus angustifolia ssp. Oxycarpa,1,3024,0.03306878306878307
109,S.GIUSEPPE-S.CHIARA,Prunus dulcis,1,3024,0.03306878306878307
110,S.GIUSEPPE-S.CHIARA,Eucalyptus cordata,1,3024,0.03306878306878307
111,S.GIUSEPPE-S.CHIARA,Platanus,1,3024,0.03306878306878307
112,S.GIUSEPPE-S.CHIARA,Pittosporum tobira,1,3024,0.03306878306878307
113,S.GIUSEPPE-S.CHIARA,Davidia involucrata,1,3024,0.03306878306878307
114,S.GIUSEPPE-S.CHIARA,Rhododendron obtusum,1,3024,0.03306878306878307
115,S.GIUSEPPE-S.CHIARA,Pinus wallichiana,1,3024,0.03306878306878307
116,S.GIUSEPPE-S.CHIARA,Cupressus arizonica,1,3024,0.03306878306878307
117,S.GIUSEPPE-S.CHIARA,Crataegus x lavallei,1,3024,0.03306878306878307
118,S.GIUSEPPE-S.CHIARA,Crataegus monogyna,1,3024,0.03306878306878307
119,S.GIUSEPPE-S.CHIARA,Sambucus nigra,1,3024,0.03306878306878307
120,S.GIUSEPPE-S.CHIARA,Cornus mas,1,3024,0.03306878306878307
121,S.GIUSEPPE-S.CHIARA,Malus,1,3024,0.03306878306878307
122,S.GIUSEPPE-S.CHIARA,Morus,1,3024,0.03306878306878307
123,S.GIUSEPPE-S.CHIARA,Alnus glutinosa,1,3024,0.03306878306878307
124,S.GIUSEPPE-S.CHIARA,Aesculus,1,3024,0.03306878306878307
125,S.GIUSEPPE-S.CHIARA,Acer buergerianum,1,3024,0.03306878306878307
126,S.GIUSEPPE-S.CHIARA,Abies alba,1,3024,0.03306878306878307
127,OLTREFERSINA,Celtis australis,341,2695,12.653061224489795
128,OLTREFERSINA,Pinus nigra,145,2695,5.380333951762523
129,OLTREFERSINA,Acer campestre,128,2695,4.749536178107607
130,OLTREFERSINA,Carpinus betulus,126,2695,4.675324675324675
131,OLTREFERSINA,Robinia pseudoacacia,120,2695,4.452690166975881
132,OLTREFERSINA,Tilia cordata,116,2695,4.304267161410018
133,OLTREFERSINA,Prunus cerasifera,106,2695,3.9332096474953615
134,OLTREFERSINA,Tilia x europaea,100,2695,3.710575139146568
135,OLTREFERSINA,Cedrus deodara,95,2695,3.525046382189239
136,OLTREFERSINA,Liriodendron tulipifera,93,2695,3.450834879406308
137,OLTREFERSINA,Quercus robur,88,2695,3.2653061224489797
138,OLTREFERSINA,Acer platanoides,78,2695,2.894248608534323
139,OLTREFERSINA,Liquidambar styraciflua,53,2695,1.9666048237476808
140,OLTREFERSINA,Picea abies,50,2695,1.855287569573284
141,OLTREFERSINA,Cupressus sempervirens,38,2695,1.4100185528756959
142,OLTREFERSINA,Platanus x acerifolia 'Bloodgood',35,2695,1.2987012987012987
143,OLTREFERSINA,Aesculus hippocastanum,34,2695,1.261595547309833
144,OLTREFERSINA,Betula pendula,33,2695,1.2244897959183674
145,OLTREFERSINA,Gleditsia triacanthos,32,2695,1.1873840445269017
146,OLTREFERSINA,Acer pseudoplatanus,31,2695,1.150278293135436
147,OLTREFERSINA,Platanus x hispanica,31,2695,1.150278293135436
148,OLTREFERSINA,Quercus rubra,30,2695,1.1131725417439702
149,OLTREFERSINA,Acer negundo,30,2695,1.1131725417439702
150,OLTREFERSINA,Acer buergerianum,28,2695,1.0389610389610389
151,OLTREFERSINA,Fraxinus angustifolia,26,2695,0.9647495361781077
152,OLTREFERSINA,Ulmus,25,2695,0.927643784786642
153,OLTREFERSINA,Platanus,25,2695,0.927643784786642
154,OLTREFERSINA,Cercis siliquastrum,23,2695,0.8534322820037107
155,OLTREFERSINA,Corylus colurna,23,2695,0.8534322820037107
156,OLTREFERSINA,Fraxinus ornus,23,2695,0.8534322820037107
157,OLTREFERSINA,Fraxinus excelsior,22,2695,0.8163265306122449
158,OLTREFERSINA,Prunus avium,21,2695,0.7792207792207793
159,OLTREFERSINA,Fagus sylvatica,20,2695,0.7421150278293136
160,OLTREFERSINA,Cedrus atlantica,19,2695,0.7050092764378479
161,OLTREFERSINA,Acer saccharinum,18,2695,0.6679035250463822
162,OLTREFERSINA,Cupressus,17,2695,0.6307977736549165
163,OLTREFERSINA,Ostrya carpinifolia,17,2695,0.6307977736549165
164,OLTREFERSINA,Ulmus minor,14,2695,0.5194805194805194
165,OLTREFERSINA,Chamaecyparis lawsoniana,14,2695,0.5194805194805194
166,OLTREFERSINA,Pinus strobus,13,2695,0.48237476808905383
167,OLTREFERSINA,Betula,12,2695,0.44526901669758817
168,OLTREFERSINA,Morus nigra,12,2695,0.44526901669758817
